Date,Product,Brand,Size,Quantity Sold,Unit Price (₹),Margin (%),Profit (₹),Net Profit (₹),Total Revenue (₹),Tax (GST % ),Tax Amount (₹),Net Tax (₹),Dealer,Stock Availability,Dealer Location
01-01-2023,Sneakers,Nike,10,43,5938.7,15%,38304.62,7709.84,255364.1,12%,30643.69,30643.69,Dealer_2,1,Delhi
01-01-2023,Flats,Paragon,9,50,1976.23,40%,39524.6,27711.27,98811.5,12%,11857.38,11857.38,Dealer_1,57,Delhi
01-01-2023,Sneakers,Adidas,7,45,6816.15,15%,46009.01,9194.3,306726.75,12%,36807.21,36807.21,Dealer_6,100,Pune
01-01-2023,Flats,Paragon,10,65,1548.8,40%,40268.8,28297.46,100672.0,12%,12080.64,12080.64,Dealer_4,200,Haryana
01-01-2023,Sandals,Nike,11,35,11377.67,15%,59732.77,12043.6,398218.45,12%,47786.21,47786.21,Dealer_3,121,Mumbai
01-01-2023,Sneakers,Adidas,11,41,2817.68,15%,17328.73,3507.08,115524.88,12%,13862.99,13862.99,Dealer_3,74,Mumbai
01-01-2023,Sandals,Bata,9,65,4228.51,30%,82455.95,49479.03,274853.15,12%,32982.38,32982.38,Dealer_7,167,Mumbai
01-01-2023,Flats,Nike,8,49,9624.49,15%,70740.0,14213.73,471600.01,12%,56592.0,56592.0,Dealer_6,142,Pune
01-01-2023,Flats,Adidas,10,47,2366.6,15%,16684.53,3368.33,111230.2,12%,13347.62,13347.62,Dealer_2,124,Delhi
01-01-2023,Sneakers,Puma,7,50,3028.85,20%,30288.5,12221.48,151442.5,12%,18173.1,18173.1,Dealer_6,143,Pune
01-01-2023,Sneakers,Bata,8,43,3680.7,30%,47481.03,28578.57,158270.1,12%,18992.41,18992.41,Dealer_7,68,Mumbai
01-01-2023,Flats,Paragon,7,45,2322.82,40%,41810.76,29165.71,104526.9,12%,12543.23,12543.23,Dealer_2,168,Delhi
01-01-2023,Sandals,Sketchers,10,48,2488.27,25%,29859.24,15418.21,119436.96,12%,14332.44,14332.44,Dealer_3,64,Mumbai
01-01-2023,Boots,Nike,8,37,6212.89,15%,34481.54,6826.18,229876.93,12%,27585.23,27585.23,Dealer_2,195,Delhi
02-01-2023,Boots,Paragon,9,29,2711.71,40%,31455.84,22116.7,78639.59,12%,9436.75,9436.75,Dealer_6,167,Pune
02-01-2023,Sneakers,Sketchers,7,24,4852.45,25%,29114.7,14982.01,116458.8,12%,13975.06,13975.06,Dealer_6,117,Pune
02-01-2023,Flats,Paragon,8,27,1498.5,40%,16183.8,11368.14,40459.5,12%,4855.14,4855.14,Dealer_2,85,Delhi
02-01-2023,Flats,Liberty,6,27,2652.76,40%,28649.81,20091.12,71624.52,12%,8594.94,8594.94,Dealer_2,90,Delhi
02-01-2023,Flats,Paragon,8,33,658.82,40%,8696.42,6203.76,21741.06,12%,2608.93,2608.93,Dealer_3,169,Mumbai
02-01-2023,Flats,Sketchers,9,30,4561.28,25%,34209.6,17807.03,136838.4,12%,16420.61,16420.61,Dealer_2,187,Delhi
03-01-2023,Flats,Paragon,8,48,1233.75,40%,23688.0,16447.28,59220.0,12%,7106.4,7106.4,Dealer_2,166,Delhi
03-01-2023,Sneakers,Paragon,10,31,2929.72,40%,36328.53,25334.03,90821.32,12%,10898.56,10898.56,Dealer_7,95,Mumbai
03-01-2023,Flats,Nike,10,23,13100.03,15%,45195.1,8920.82,301300.69,12%,36156.08,36156.08,Dealer_6,100,Pune
03-01-2023,Sneakers,Bata,11,23,3157.52,30%,21786.89,13018.34,72622.96,12%,8714.76,8714.76,Dealer_7,185,Mumbai
03-01-2023,Sneakers,Paragon,8,33,548.69,40%,7242.71,5051.61,18106.77,12%,2172.81,2172.81,Dealer_3,128,Mumbai
03-01-2023,Boots,Nike,7,22,14363.39,15%,47399.19,9363.29,315994.58,12%,37919.35,37919.35,Dealer_1,174,Delhi
03-01-2023,Heels,Nike,11,16,12190.01,15%,29256.02,5998.27,195040.16,12%,23404.82,23404.82,Dealer_2,171,Delhi
03-01-2023,Flats,Adidas,8,30,8979.46,15%,40407.57,7948.99,269383.8,12%,32326.06,32326.06,Dealer_5,104,Haryana
04-01-2023,Flats,Paragon,10,32,2282.37,40%,29214.34,20584.65,73035.84,12%,8764.3,8764.3,Dealer_3,145,Mumbai
04-01-2023,Sandals,Woodland,8,32,3487.43,20%,22319.55,9046.34,111597.76,12%,13391.73,13391.73,Dealer_1,136,Delhi
04-01-2023,Sneakers,Paragon,9,32,1971.1,40%,25230.08,17750.89,63075.2,12%,7569.02,7569.02,Dealer_1,68,Delhi
04-01-2023,Flats,Paragon,6,42,668.5,40%,11230.8,7792.18,28077.0,12%,3369.24,3369.24,Dealer_1,134,Delhi
04-01-2023,Sneakers,Woodland,7,30,6013.87,20%,36083.22,14467.53,180416.1,12%,21649.93,21649.93,Dealer_2,188,Delhi
04-01-2023,Sneakers,Paragon,9,34,1681.68,40%,22870.85,15881.86,57177.12,12%,6861.25,6861.25,Dealer_4,154,Haryana
04-01-2023,Boots,Nike,7,34,7251.57,15%,36983.01,7487.69,246553.38,12%,29586.41,29586.41,Dealer_5,169,Haryana
04-01-2023,Heels,Paragon,6,21,651.53,40%,5472.85,3823.6,13682.13,12%,1641.86,1641.86,Dealer_7,136,Mumbai
05-01-2023,Boots,Adidas,7,28,5588.91,15%,23473.42,4653.75,156489.48,12%,18778.74,18778.74,Dealer_5,96,Haryana
05-01-2023,Sandals,Bata,7,15,2772.52,30%,12476.34,7363.43,41587.8,12%,4990.54,4990.54,Dealer_6,75,Pune
05-01-2023,Sneakers,Paragon,9,29,2922.49,40%,33900.88,23482.87,84752.21,12%,10170.27,10170.27,Dealer_7,110,Mumbai
05-01-2023,Sneakers,Bata,9,38,1854.99,30%,21146.89,12584.28,70489.62,12%,8458.75,8458.75,Dealer_3,65,Mumbai
